lat	lon	ele
45.566975	6.699027	839.6
45.567007	6.698775	838.6
45.567032	6.69861	838.6
45.567053	6.698447	838.6
45.56703	6.698191	838.6
45.567006	6.697936	838.6
45.566972	6.697778	838.6
45.566932	6.697626	838.6
45.566849	6.697405	838.6
45.566765	6.697184	838.6
45.566709	6.697051	838.6
45.566655	6.696919	838.6
45.56657	6.696648	838.6
45.56653	6.696496	838.6
45.566493	6.696352	838.6
45.566454	6.696236	838.6
45.566396	6.695979	838.6
45.566359	6.695832	838.6
45.566324	6.695692	838.6
45.566288	6.69555	838.6
45.566204	6.695272	838.6
45.566164	6.695138	838.6
45.566123	6.694998	838.6
45.566087	6.694856	838.6
45.56604	6.694637	838.6
45.565993	6.694419	838.6
45.565971	6.69428	838.6
45.56594	6.694128	838.6
45.565874	6.693905	838.6
45.565808	6.693682	838.6
45.56577	6.693535	838.6
45.565738	6.693387	838.6
45.565698	6.693154	838.6
45.565657	6.692921	838.6
45.565628	6.692767	838.6
45.565597	6.692618	838.6
45.565542	6.692402	838.6
45.565486	6.692186	838.6
45.565441	6.69204	838.6
45.565399	6.691893	838.6
45.565318	6.691602	839.6
45.565276	6.691451	839.6
45.565235	6.691302	839.6
45.565196	6.691149	839.6
45.565135	6.690921	839.6
45.565074	6.690693	839.6
45.56503	6.690535	839.6
45.564982	6.690369	839.6
45.564921	6.690106	838.4
45.564859	6.689844	838.4
45.564843	6.689656	837.2
45.564838	6.68946	837.2
45.564854	6.689165	835.6
45.56487	6.688869	835.6
45.564879	6.688663	833.8
45.564878	6.688458	833.8
45.564839	6.688157	832
45.5648	6.687857	832
45.564744	6.687665	830.2
45.564676	6.68748	830.2
45.564575	6.687205	828.4
45.564473	6.686931	828.4
45.564427	6.686737	826.6
45.564399	6.686539	826.6
45.564399	6.686245	825.2
45.564399	6.685951	825.2
45.564415	6.685764	824
45.56444	6.685577	824
45.564512	6.685313	822.8
45.564583	6.685049	822.8
45.56465	6.684899	822.8
45.564715	6.684745	821.6
45.564806	6.684521	821.6
45.564897	6.684296	821.6
45.564939	6.684143	821.6
45.564965	6.683981	821.6
45.564981	6.683745	821.6
45.564997	6.683508	821.6
45.564997	6.683356	821.6
45.564994	6.683207	821.6
45.564982	6.682991	821.6
45.564969	6.682775	821.6
45.564957	6.682636	823
45.564942	6.682499	823
45.564919	6.682221	823
